Model,RMSE,MAE,Rsquared
lm_full,5.7180157830828575,4.436149036788555,0.9002668670788481
lm_opt,7.523493382719714,5.895988622428629,0.8258662145781398
lm_FE,2.7154341152686268,1.5868573378316846,0.9743553354094873
